id,name,email,phone,website,address,city,state,zip_code,country,description,capacity,music_focus,venue_type,booking_notes,instagram_handle,facebook_url,is_verified,created_at,updated_at
124831f7-38c0-4b3c-b24a-b1f95267f842,The Pour House Music Hall,booking@pourhouseraleigh.com,null,null,null,Raleigh,NC,null,US,"Raleigh's home for all things music featuring local and nationally touring bands. 20+ years showcasing rock, soul, jazz, hip-hop and Americana. Over 1,000 bands perform annually.",null,"[""Rock"",""Jazz"",""Hip Hop"",""Americana"",""Indie""]",null,null,null,null,false,2025-11-16 22:30:50.645513+00,2025-11-16 22:30:50.645513+00
ed58a4fd-c942-4b0c-b983-06f7eec78985,Lincoln Theatre,info@lincolntheatre.com,null,null,null,Raleigh,NC,null,US,"Historic music venue in downtown Raleigh featuring diverse live music including rock, indie, and alternative. Intimate setting with great acoustics.",null,"[""Rock"",""Indie"",""Alternative""]",null,null,null,null,false,2025-11-16 22:30:50.645513+00,2025-11-16 22:30:50.645513+00
434090f2-e39f-4df8-89aa-eee78c88124a,The Ritz,booking@ritzraleigh.com,null,null,null,Raleigh,NC,null,US,"Popular 12,000-square-foot live music venue known for industrial-style space. Multiple bars, VIP seating. Hosts rock, hip-hop, and electronic music.",null,"[""Rock"",""Hip Hop"",""Electronic""]",null,null,null,null,false,2025-11-16 22:30:50.645513+00,2025-11-16 22:30:50.645513+00
8e23ece6-fe5c-4911-88c8-b6a3a3d38db7,Slims Downtown,slims@slimsraleigh.com,null,null,null,Raleigh,NC,null,US,Downtown Raleigh's oldest music venue (est. 1999). Authentic dive bar with 100-person capacity for intimate concerts. Weekly open mic nights and local acts.,null,"[""Rock"",""Indie"",""Folk"",""Punk""]",null,null,null,null,false,2025-11-16 22:30:50.645513+00,2025-11-16 22:30:50.645513+00
483d7240-a6bb-499e-b656-fd6b750d8fb1,Tin Roof,raleigh@tinroof.com,null,null,null,Raleigh,NC,null,US,"Live music every night featuring local, regional and national acts across all genres. Great food and drinks in a fun atmosphere.",null,"[""Rock"",""Country"",""Blues"",""Alternative""]",null,null,null,null,false,2025-11-16 22:30:50.645513+00,2025-11-16 22:30:50.645513+00
10d92ed0-5c65-4841-af5d-0f5abc4994db,Kings,booking@kings-raleigh.com,null,null,null,Raleigh,NC,null,US,Premier live music venue in downtown Raleigh. Known for eclectic programming and top-notch sound system. Hosts touring acts and local favorites.,null,"[""Rock"",""Indie"",""Electronic"",""Alternative""]",null,null,null,null,false,2025-11-16 22:30:50.645513+00,2025-11-16 22:30:50.645513+00
7e8b1540-0906-4fc0-948e-1e84138d2ddc,Red Hat Amphitheater,info@redhatamphitheater.com,null,null,null,Raleigh,NC,null,US,"Outdoor amphitheater in Glenwood South with 5,000 capacity. Premier venue for major touring artists in an intimate downtown setting.",null,"[""Rock"",""Country"",""Hip Hop"",""Alternative""]",null,null,null,null,false,2025-11-16 22:30:50.645513+00,2025-11-16 22:30:50.645513+00
35bff74f-3d97-4e4d-b9d8-6298bf4cae5f,Motorco Music Hall,booking@motorcomusic.com,null,null,null,Durham,NC,null,US,"Just outside Raleigh in Durham. Converted garage space with industrial vibe. Hosts indie, rock, and experimental music. Great local scene.",null,"[""Indie"",""Rock"",""Punk"",""Electronic""]",null,null,null,null,false,2025-11-16 22:30:50.645513+00,2025-11-16 22:30:50.645513+00
88c5118e-2923-444b-9cac-bae90aa2d1d4,The Maywood,info@themaywood.com,null,null,null,Raleigh,NC,null,US,Cozy neighborhood bar and music venue. Focus on local and regional acts. Great for emerging artists and intimate shows.,null,"[""Indie"",""Folk"",""Americana"",""Jazz""]",null,null,null,null,false,2025-11-16 22:30:50.645513+00,2025-11-16 22:30:50.645513+00
1963f54e-4127-48bd-b3d0-708a26f06774,Cats Cradle,booking@catscradle.com,null,null,null,Carrboro,NC,null,US,Legendary Triangle area venue (near Raleigh). Historic club that has hosted countless iconic acts. Essential stop for touring indie and alternative bands.,null,"[""Indie"",""Rock"",""Alternative"",""Punk""]",null,null,null,null,false,2025-11-16 22:30:50.645513+00,2025-11-16 22:30:50.645513+00
