name,email,phone,website,address,city,state,zip_code,capacity,venue_type,music_focus,description,instagram_handle,facebook_url,country,is_verified
The National,info@thenationalva.com,(804) 612-1900,https://www.thenationalva.com,708 E Broad St,Richmond,VA,23219,1500,theater,"[""rock"", ""indie"", ""alternative"", ""electronic""]",Historic theater hosting national touring acts and local shows,@thenationalrva,https://facebook.com/thenationalva,USA,true
The Broadberry,info@thebroadberry.com,(804) 353-1384,https://www.thebroadberry.com,2729 W Broad St,Richmond,VA,23220,450,club,"[""indie"", ""rock"", ""punk"", ""alternative""]",Popular venue for emerging and established indie artists,@thebroadberry,https://facebook.com/thebroadberry,USA,true
The Camel,info@thecamel.org,(804) 353-4901,https://www.thecamel.org,1621 W Broad St,Richmond,VA,23220,200,bar,"[""indie"", ""rock"", ""folk"", ""experimental""]",Intimate bar and music venue in the Fan District,@thecamelrva,https://facebook.com/thecamelrva,USA,true
Brown's Island Amphitheater,events@venturerichmond.com,(804) 788-6466,https://www.venturerichmond.com,7 Tredegar St,Richmond,VA,23219,10000,amphitheater,"[""rock"", ""pop"", ""country"", ""folk"", ""jazz""]",Outdoor amphitheater on the James River hosting festivals and concerts,@venturerichmond,https://facebook.com/venturerichmond,USA,true
The Tin Pan,info@tinpanrva.com,(804) 447-8189,https://www.tinpanrva.com,8982 Quioccasin Rd,Richmond,VA,23229,350,club,"[""rock"", ""indie"", ""alternative"", ""metal""]",Music venue and bar featuring local and touring bands,@tinpanrva,https://facebook.com/tinpanrva,USA,true
The Jefferson Theater,info@jeffersontheaterrva.com,(434) 979-1333,https://www.jeffersontheaterrva.com,110 E Main St,Richmond,VA,23219,600,theater,"[""rock"", ""indie"", ""folk"", ""blues""]",Historic theater in downtown Richmond,@jeffersontheaterrva,https://facebook.com/jeffersontheaterrva,USA,true
Strangeways Brewing,info@strangewaysbrewing.com,(804) 303-4576,https://www.strangewaysbrewing.com,2277A Dabney Rd,Richmond,VA,23230,150,brewery,"[""indie"", ""folk"", ""rock"", ""acoustic""]",Craft brewery with regular live music events,@strangewaysbrewing,https://facebook.com/strangewaysbrewing,USA,true
The Spectrum Gallery,booking@spectrum-gallery.com,(804) 644-2582,https://www.spectrum-gallery.com,1508 Belleville St,Richmond,VA,23223,300,venue,"[""punk"", ""hardcore"", ""metal"", ""indie""]",All-ages DIY venue supporting underground music,@spectrumgalleryrva,https://facebook.com/spectrumgallery,USA,true
Hardywood Park Craft Brewery,info@hardywood.com,(804) 420-2420,https://www.hardywood.com,2408 Ownby Ln,Richmond,VA,23220,400,brewery,"[""folk"", ""bluegrass"", ""indie"", ""acoustic""]",Popular brewery with outdoor music events,@hardywood,https://facebook.com/hardywood,USA,true
Capital Ale House,info@capitalalehouse.com,(804) 780-2537,https://www.capitalalehouse.com,623 E Main St,Richmond,VA,23219,250,bar,"[""rock"", ""blues"", ""jazz"", ""folk""]",Downtown bar with live music and extensive beer selection,@capitalalehouse,https://facebook.com/capitalalehouse,USA,true
Balliceaux,info@balliceaux.com,(804) 353-2210,https://www.balliceaux.com,203 N Lombardy St,Richmond,VA,23220,200,bar,"[""indie"", ""electronic"", ""hip-hop"", ""rock""]",Trendy bar and music venue in the Fan,@balliceaux,https://facebook.com/balliceaux,USA,true
Innsbrook After Hours,info@innsbrookafterhours.com,(804) 965-6400,https://www.innsbrookafterhours.com,4901 Lake Brook Dr,Richmond,VA,23060,8000,amphitheater,"[""rock"", ""pop"", ""country"", ""alternative""]",Outdoor concert series in Innsbrook corporate park,@innsbrookafterhours,https://facebook.com/innsbrookafterhours,USA,true
The Locker Room,booking@lockerroomrva.com,(804) 340-1166,https://www.lockerroomrva.com,3101 W Clay St,Richmond,VA,23230,180,bar,"[""indie"", ""rock"", ""punk"", ""alternative""]",Intimate music venue and bar,@lockerroomrva,https://facebook.com/lockerroomrva,USA,true
The Southern Cafe and Music Hall,info@southerncafe.net,(434) 977-5590,https://www.southerncafe.net,103 S 1st St,Richmond,VA,23219,400,club,"[""bluegrass"", ""folk"", ""americana"", ""country""]",Restaurant and music hall featuring roots music,@southerncafemusicall,https://facebook.com/southerncafe,USA,true
GWARbar,info@gwarbar.com,(804) 231-4428,https://www.gwarbar.com,217 W Clay St,Richmond,VA,23220,200,bar,"[""metal"", ""punk"", ""rock"", ""hardcore""]",Metal-themed bar owned by GWAR members,@gwarbar,https://facebook.com/gwarbar,USA,true
The Hof Garden,events@thehofgarden.com,(804) 658-4466,https://www.thehofgarden.com,5410 Lakeside Ave,Richmond,VA,23228,300,bar,"[""rock"", ""country"", ""blues"", ""folk""]",German beer garden with live music,@thehofgarden,https://facebook.com/thehofgarden,USA,true
Penny Lane Pub,info@pennylanepub.com,(804) 780-1682,https://www.pennylanepub.com,207 W 7th St,Richmond,VA,23224,150,bar,"[""rock"", ""indie"", ""punk"", ""alternative""]",British-style pub with local music scene,@pennylanepubrva,https://facebook.com/pennylanepub,USA,true
Triple Crossing Beer,info@triplecrossingbeer.com,(804) 767-3280,https://www.triplecrossingbeer.com,5203 W Broad St,Richmond,VA,23230,200,brewery,"[""indie"", ""folk"", ""rock"", ""acoustic""]",Craft brewery with frequent live music,@triplecrossingbeer,https://facebook.com/triplecrossingbeer,USA,true
The Answer Brewpub,info@theanswerbrewpub.com,(804) 427-3673,https://www.theanswerbrewpub.com,6008 W Broad St,Richmond,VA,23230,180,brewery,"[""rock"", ""indie"", ""folk"", ""jazz""]",Brewpub with live music on weekends,@theanswerbrewpub,https://facebook.com/theanswerbrewpub,USA,true
Firehouse Theatre,info@firehousetheatre.org,(804) 355-2001,https://www.firehousetheatre.org,1609 W Broad St,Richmond,VA,23220,125,theater,"[""folk"", ""acoustic"", ""indie"", ""jazz""]",Historic firehouse converted to intimate performance space,@firehousetheatre,https://facebook.com/firehousetheatre,USA,true
Richmond Music Hall,booking@richmondmusichall.com,(804) 231-1808,https://www.richmondmusichall.com,1807 E Main St,Richmond,VA,23223,900,club,"[""rock"", ""electronic"", ""hip-hop"", ""metal""]",Multi-level music venue in Shockoe Bottom,@richmondmusichall,https://facebook.com/richmondmusichall,USA,true
Sticky Rice,info@stickyricerestaurant.com,(804) 358-7870,https://www.stickyricerestaurant.com,2232 W Main St,Richmond,VA,23220,100,restaurant,"[""punk"", ""indie"", ""rock"", ""alternative""]",Sushi restaurant with punk rock vibe and occasional shows,@stickyricerestaurant,https://facebook.com/stickyricerestaurant,USA,true
The Hofheimer Building,events@hofheimerbuilding.com,(804) 234-1150,https://www.hofheimerbuilding.com,1401 Roseneath Rd,Richmond,VA,23230,500,venue,"[""rock"", ""indie"", ""electronic"", ""alternative""]",Historic event space hosting concerts and festivals,@hofheimerbuilding,https://facebook.com/hofheimerbuilding,USA,true
Cobra Burger,info@cobraburger.com,(804) 359-2627,https://www.cobraburger.com,6028 W Broad St,Richmond,VA,23230,120,restaurant,"[""punk"", ""rock"", ""metal"", ""hardcore""]",Burger joint with punk rock atmosphere and live music,@cobraburger,https://facebook.com/cobraburger,USA,true
Ashland Coffee & Tea,info@ashlandcoffeeandtea.com,(804) 798-1702,https://www.ashlandcoffeeandtea.com,100 N Railroad Ave,Ashland,VA,23005,80,coffee_shop,"[""folk"", ""acoustic"", ""indie"", ""jazz""]",Coffee shop in historic Ashland with intimate performances,@ashlandcoffeeandtea,https://facebook.com/ashlandcoffeeandtea,USA,true
Vasen Brewing Company,info@vasenbrewing.com,(804) 231-8274,https://www.vasenbrewing.com,2709 E Broad St,Richmond,VA,23223,150,brewery,"[""indie"", ""folk"", ""rock"", ""acoustic""]",Church Hill brewery with live music events,@vasenbrewing,https://facebook.com/vasenbrewing,USA,true
The Laurel,info@thelaurelrva.com,(804) 404-1870,https://www.thelaurelrva.com,2501 W Main St,Richmond,VA,23220,175,bar,"[""indie"", ""rock"", ""electronic"", ""experimental""]",Music venue and bar in the Museum District,@thelaurelrva,https://facebook.com/thelaurelrva,USA,true
Basic City Beer Co,info@basiccitybeer.com,(540) 213-2644,https://www.basiccitybeer.com,2210 E Clay St,Richmond,VA,23223,140,brewery,"[""folk"", ""bluegrass"", ""rock"", ""indie""]",Brewery taproom with regular live music,@basiccitybeer,https://facebook.com/basiccitybeer,USA,true
The Warehouse,info@thewarehouserva.com,(804) 231-9876,https://www.thewarehouserva.com,1508 Williamsburg Rd,Richmond,VA,23231,600,venue,"[""hip-hop"", ""electronic"", ""r&b"", ""indie""]",Large warehouse venue for concerts and events,@thewarehouserva,https://facebook.com/thewarehouserva,USA,true
Galley Restaurant,info@galleyrva.com,(804) 918-6260,https://www.galleyrva.com,1007 N Boulevard,Richmond,VA,23230,100,restaurant,"[""jazz"", ""blues"", ""folk"", ""acoustic""]",Upscale restaurant with jazz and acoustic performances,@galleyrva,https://facebook.com/galleyrva,USA,true
The Veil Brewing Co,info@theveilbrewing.com,(804) 269-7100,https://www.theveilbrewing.com,1301 Roseneath Rd,Richmond,VA,23230,250,brewery,"[""indie"", ""electronic"", ""rock"", ""experimental""]",Popular brewery with outdoor music events,@theveilbrewing,https://facebook.com/theveilbrewing,USA,true
The Circuit Arcade Bar,info@circuitarcadebar.com,(804) 353-2500,https://www.circuitarcadebar.com,3121 W Leigh St,Richmond,VA,23230,160,bar,"[""electronic"", ""indie"", ""rock"", ""hip-hop""]",Arcade bar with DJs and live music,@circuitarcadebar,https://facebook.com/circuitarcadebar,USA,true
Stone Brewing Tap Room,richmond@stonebrewing.com,(804) 687-7468,https://www.stonebrewing.com/visit/richmond,4300 Williamsburg Ave,Richmond,VA,23231,300,brewery,"[""rock"", ""indie"", ""folk"", ""blues""]",Large brewery with outdoor space for live music,@stonebrewing,https://facebook.com/stonebrewing,USA,true
Carytown Burgers & Fries,info@carytownburgers.com,(804) 358-0001,https://www.carytownburgers.com,3500 W Cary St,Richmond,VA,23221,90,restaurant,"[""rock"", ""indie"", ""punk"", ""alternative""]",Burger restaurant with occasional live music,@carytownburgers,https://facebook.com/carytownburgers,USA,true
Legend Brewing Company,info@legendbrewing.com,(804) 232-3871,https://www.legendbrewing.com,321 W 7th St,Richmond,VA,23224,220,brewery,"[""rock"", ""folk"", ""blues"", ""country""]",Richmond's oldest craft brewery with riverside patio and live music,@legendbrewing,https://facebook.com/legendbrewing,USA,true
Mainline Bar & Grill,info@mainlinerva.com,(804) 355-8468,https://www.mainlinerva.com,5704 Grove Ave,Richmond,VA,23226,130,bar,"[""rock"", ""indie"", ""blues"", ""jazz""]",Neighborhood bar with live music nights,@mainlinerva,https://facebook.com/mainlinerva,USA,true
The Boathouse at Sunday Park,info@boathouseatsundaypark.com,(804) 622-2628,https://www.boathouseatsundaypark.com,4602 E Old Main St,Richmond,VA,23231,180,restaurant,"[""rock"", ""country"", ""blues"", ""folk""]",Waterfront restaurant with outdoor live music,@boathousesundaypark,https://facebook.com/boathousesundaypark,USA,true
Ardent Craft Ales,info@ardentcraftales.com,(804) 359-1605,https://www.ardentcraftales.com,3200 W Leigh St,Richmond,VA,23230,170,brewery,"[""indie"", ""folk"", ""rock"", ""acoustic""]",Scott's Addition brewery with music events,@ardentcraftales,https://facebook.com/ardentcraftales,USA,true
The Hole in the Wall,info@holeinthewall rva.com,(804) 231-5505,https://www.holeinthewallrva.com,2024 W Broad St,Richmond,VA,23220,110,bar,"[""punk"", ""rock"", ""indie"", ""metal""]",Dive bar with punk rock shows,@holeinthewallrva,https://facebook.com/holeinthewallrva,USA,true
Three Notch'd Brewing RVA Collab House,richmond@threenotchdbrewing.com,(804) 398-8623,https://www.threenotchdbrewing.com,2930 W Broad St,Richmond,VA,23230,200,brewery,"[""rock"", ""indie"", ""folk"", ""country""]",Brewery with large outdoor space for live music,@threenotchdbrewing,https://facebook.com/threenotchdbrewing,USA,true
Rosie Connolly's Pub,info@rosieconnollyspub.com,(804) 353-3921,https://www.rosieconnollyspub.com,1548 W Main St,Richmond,VA,23220,140,bar,"[""rock"", ""folk"", ""irish"", ""blues""]",Irish pub with traditional music sessions,@rosieconnollyspub,https://facebook.com/rosieconnollyspub,USA,true
Isley Brewing Company,info@isleybrewing.com,(804) 325-1278,https://www.isleybrewing.com,1715 Summit Ave,Richmond,VA,23230,190,brewery,"[""rock"", ""indie"", ""folk"", ""country""]",Family-friendly brewery with live music weekends,@isleybrewing,https://facebook.com/isleybrewing,USA,true
The Meadow,info@themeadowrva.com,(804) 254-4411,https://www.themeadowrva.com,2700 W Broad St,Richmond,VA,23220,600,venue,"[""indie"", ""rock"", ""electronic"", ""alternative""]",Event space hosting concerts and music events,@themeadowrva,https://facebook.com/themeadowrva,USA,true
Buskey Cider,info@buskeycider.com,(804) 231-4007,https://www.buskeycider.com,2910 W Leigh St,Richmond,VA,23230,160,brewery,"[""folk"", ""indie"", ""acoustic"", ""bluegrass""]",Cidery with outdoor seating and live music,@buskeycider,https://facebook.com/buskeycider,USA,true
Final Gravity Brewing,info@finalgravitybrewing.com,(804) 405-1025,https://www.finalgravitybrewing.com,2818 W Broad St,Richmond,VA,23230,145,brewery,"[""rock"", ""indie"", ""folk"", ""jazz""]",Scott's Addition brewery with live music,@finalgravitybrewing,https://facebook.com/finalgravitybrewing,USA,true
Blue Bee Cider,info@bluebeecider.com,(804) 231-0280,https://www.bluebeecider.com,1320 Summit Ave,Richmond,VA,23230,135,brewery,"[""folk"", ""acoustic"", ""indie"", ""bluegrass""]",Urban cidery with music events,@bluebeecider,https://facebook.com/bluebeecider,USA,true
Garden Grove Brewing & Urban Winery,info@gardengrovebrewing.com,(804) 231-0307,https://www.gardengrovebrewing.com,1305 Summit Ave,Richmond,VA,23230,155,brewery,"[""rock"", ""indie"", ""folk"", ""jazz""]",Brewery and winery with live performances,@gardengrovebrewing,https://facebook.com/gardengrovebrewing,USA,true
Tabol Brewing,info@tabolbrewing.com,(804) 767-8222,https://www.tabolbrewing.com,5505 Patterson Ave,Richmond,VA,23226,125,brewery,"[""folk"", ""acoustic"", ""indie"", ""jazz""]",Neighborhood brewery with acoustic sessions,@tabolbrewing,https://facebook.com/tabolbrewing,USA,true
